List of lists of tuples;Tasks#;Workers#;Jobs#;Sch.FCFS;FCFS.ImpTime;Sch.MRR;MMR.ImpTime;Sch.JSP;JSP.time
[[(1,3),(0,3),(1,4),(0,1)],[(1,1),(0,1),(1,1)],[(3,1),(2,1),(3,2),(2,2)],[(2,3),(3,1),(2,2)],[(0,3),(1,2),(0,1),(1,2)],[(2,4),(3,2),(2,4),(3,1)]];22;4;6;45;10583;16;19625;16;5145041
[[(0,1),(3,2),(0,4),(3,1)],[(0,1),(3,2),(0,3)],[(3,4),(0,2),(3,4),(0,2)],[(1,4),(2,2),(1,1)],[(2,1),(1,2),(2,3),(1,2)],[(1,2),(2,4),(1,4),(2,3)]];22;4;6;54;6125;17;11625;15;3796458
[[(1,3),(2,3),(1,3),(2,1)],[(0,1),(3,2),(0,4)],[(0,3),(3,4),(0,4),(3,2)],[(2,2),(1,3),(2,2)],[(2,3),(1,2),(2,4),(1,1)],[(3,4),(0,4),(3,3),(0,2)]];22;4;6;60;5458;18;17250;18;6079750
[[(0,4),(2,4),(0,3),(2,2)],[(1,1),(3,1),(1,3),(3,4)],[(2,4),(0,4),(2,3)],[(2,4),(0,4),(2,2),(0,1)],[(3,1),(1,2),(3,1),(1,2)],[(3,1),(1,4),(3,2)]];22;4;6;57;4333;19;10417;19;4058709
[[(1,2),(0,4),(1,1),(0,1)],[(2,3),(3,4),(2,1),(3,1)],[(0,3),(1,3),(0,3),(1,2)],[(3,3),(2,1),(3,4),(2,3)],[(3,4),(2,2),(3,4)],[(1,2),(0,2),(1,1)]];22;4;6;54;9500;20;30292;20;3638500
[[(0,3),(1,3),(0,4)],[(2,1),(3,1),(2,3),(3,1)],[(0,1),(1,3),(0,4),(1,4)],[(1,1),(0,3),(1,4),(0,1)],[(3,2),(2,4),(3,4)],[(3,3),(2,1),(3,2),(2,4)]];22;4;6;57;30083;19;41209;16;8029709
[[(2,1),(0,1),(2,4),(0,4)],[(3,1),(1,3),(3,4),(1,1)],[(1,3),(3,4),(1,2),(3,3)],[(0,4),(2,3),(0,2),(2,4)],[(2,2),(0,3),(2,2)],[(3,4),(1,2),(3,1)]];22;4;6;58;11916;17;34708;17;6690208
[[(0,4),(2,1),(0,4),(2,3)],[(2,2),(0,4),(2,1),(0,2)],[(3,2),(1,2),(3,4),(1,2)],[(2,3),(0,2),(2,2)],[(3,1),(1,4),(3,1)],[(1,1),(3,3),(1,4),(3,1)]];22;4;6;53;21250;17;27000;17;3879833
[[(3,1),(0,4),(3,2)],[(2,4),(1,2),(2,1),(1,2)],[(1,4),(2,2),(1,4),(2,4)],[(3,4),(0,2),(3,3),(0,4)],[(0,1),(3,4),(0,4),(3,1)],[(1,2),(2,2),(1,4)]];22;4;6;61;5291;18;14833;18;3274167
[[(2,1),(0,2),(2,1),(0,3)],[(1,1),(3,2),(1,2),(3,4)],[(0,2),(2,3),(0,3),(2,2)],[(2,2),(0,3),(2,1)],[(3,1),(1,3),(3,2)],[(3,2),(1,2),(3,4),(1,4)]];22;4;6;50;10708;15;11459;15;3313958
[[(3,4),(0,4),(3,4)],[(2,3),(1,3),(2,4),(1,3)],[(0,3),(3,4),(0,2),(3,4)],[(3,1),(0,4),(3,2),(0,3)],[(1,3),(2,4),(1,4),(2,3)],[(1,3),(2,4),(1,3)]];22;4;6;72;10625;19;34708;19;3671666
[[(0,4),(2,1),(0,2)],[(2,3),(0,2),(2,1),(0,3)],[(1,4),(3,1),(1,2),(3,3)],[(3,3),(1,1),(3,4),(1,3)],[(3,2),(1,3),(3,2)],[(0,1),(2,2),(0,4),(2,4)]];22;4;6;55;15791;17;18125;16;3801417
[[(3,1),(0,3),(3,3),(0,3)],[(0,2),(3,3),(0,2),(3,3)],[(1,1),(2,3),(1,3),(2,3)],[(2,2),(1,1),(2,1),(1,2)],[(0,4),(3,2),(0,3)],[(2,2),(1,3),(2,4)]];22;4;6;54;5208;17;18709;17;3220791
[[(2,4),(0,4),(2,1)],[(1,2),(3,2),(1,3),(3,1)],[(1,3),(3,4),(1,4)],[(2,1),(0,2),(2,2),(0,1)],[(3,3),(1,4),(3,4),(1,2)],[(0,4),(2,4),(0,4),(2,4)]];22;4;6;63;4541;18;11000;18;3370375
[[(2,2),(0,1),(2,4),(0,1)],[(0,3),(2,4),(0,3),(2,4)],[(3,1),(1,4),(3,1),(1,2)],[(1,3),(3,1),(1,4),(3,4)],[(1,4),(3,1),(1,4)],[(2,3),(0,3),(2,2)]];22;4;6;59;5167;21;18000;21;3618084
[[(0,3),(1,4),(0,1),(1,4)],[(3,4),(2,3),(3,4),(2,4)],[(1,2),(0,1),(1,1),(0,1)],[(0,1),(1,3),(0,2)],[(2,1),(3,2),(2,1),(3,2)],[(2,2),(3,2),(2,4)]];22;4;6;52;9500;16;12125;16;3280458
[[(3,1),(0,2),(3,1)],[(2,2),(1,2),(2,1),(1,3)],[(1,1),(2,2),(1,1)],[(1,2),(2,3),(1,1),(2,1)],[(3,2),(0,1),(3,4),(0,1)],[(0,3),(3,4),(0,3),(3,1)]];22;4;6;42;3917;13;17167;13;3278792
